location1	location2
211	805
211	211
571	1139
571	1151
571	320
571	1455
571	1162
571	122
571	571
571	37
571	999
571	339
571	357
571	437
323	779
323	1454
323	315
323	601
323	1164
323	590
323	903
323	910
323	581
323	1451
323	96
323	531
323	1182
323	521
323	433
323	1453
323	419
323	462
323	1332
323	86
323	885
323	305
323	609
323	323
323	423
323	614
323	586
323	1364
323	605
323	262
323	422
323	1498
323	768
323	646
323	1353
323	401
323	642
323	946
323	594
1269	1269
1272	787
1272	90
1272	1272
1473	717
1473	1071
1473	695
1473	123
1473	633
1473	1486
1473	1200
1473	862
1473	893
1473	1292
1473	368
1473	909
1473	286
1473	193
1473	1473
1473	973
1473	1378
1473	157
1473	1138
1473	978
1473	561
1473	738
1473	410
1473	309
1473	1396
1473	627
1473	1011
1473	708
1473	51
1473	855
1473	1236
1473	547
1473	273
1473	859
1473	1472
1473	421
1473	812
1473	147
1473	914
1473	420
1473	1306
1473	663
1473	613
1473	567
1473	684
1473	930
1473	1060
1473	1430
1473	117
1473	541
1473	237
1473	1326
1473	970
1473	1095
1473	894
1473	360
1473	1445
1473	438
1473	1356
1473	9
608	608
885	484
885	1104
885	779
885	1454
885	315
885	601
885	1164
885	590
885	903
885	910
885	581
885	1451
885	96
885	531
885	1182
885	521
885	433
885	1453
885	419
885	462
885	1332
885	86
885	885
885	305
885	609
885	323
885	423
885	614
885	586
885	1364
885	605
885	262
885	422
885	1498
885	768
885	646
885	1353
759	165
759	868
759	887
759	1459
759	1514
759	759
759	1257
759	164
759	275
759	162
325	325
1046	1468
1046	1046
1046	617
1046	81
1484	1484
1484	805
713	713
701	1382
701	1166
701	496
701	880
701	701
701	1525
701	1072
1193	639
1193	1075
1193	1354
1193	1212
1193	658
1193	1018
1193	1148
1193	1193
1193	542
1193	33
1193	954
1193	220
1193	555
880	1382
880	1166
880	496
880	880
880	701
880	1525
880	1072
1382	1382
1382	1166
1382	496
1382	880
1382	701
1382	1525
1382	1072
293	236
293	774
293	1493
293	293
293	1279
293	1033
975	975
1047	1047
623	623
1228	465
1228	807
1228	761
1228	1008
1228	1494
1228	935
1228	228
1228	1349
1228	281
1228	632
1228	1328
1228	1362
1228	171
1228	1088
1228	151
1228	748
1228	1228
1228	763
1228	1215
1228	945
1228	50
1228	349
1228	19
1228	1126
1228	921
1228	661
1228	1025
1088	342
1088	807
1088	761
1088	935
1088	1349
1088	281
1088	632
1088	171
1088	107
1088	1088
1088	748
1088	1228
1088	763
1088	945
1088	50
1088	349
1088	1025
1166	1382
1166	1166
1166	496
1166	880
1166	701
1166	1525
1166	1072
821	821
821	1217
821	1042
821	1235
821	769
821	849
821	992
1294	1294
1451	1033
1451	484
1451	1104
1451	779
1451	1454
1451	315
1451	601
1451	1164
1451	590
1451	903
1451	910
1451	581
1451	1451
1451	96
1451	531
1451	1182
1451	521
1451	433
1451	1453
1451	419
1451	462
1451	1332
1451	86
1451	885
1451	305
1451	609
1451	323
1451	423
1451	614
1451	586
1451	1364
957	1026
957	1029
957	224
957	957
957	881
957	562
1531	1375
1531	1531
1531	670
1531	326
1531	1001
378	378
620	620
339	320
339	1455
339	1162
339	122
339	571
339	37
339	999
339	339
339	357
339	1279
585	830
585	255
585	585
162	1514
162	759
162	164
162	275
162	162
162	5
162	148
162	1066
162	461
162	1278
162	1
1273	1273
594	305
594	609
594	323
594	423
594	614
594	586
594	1364
594	605
594	262
594	422
594	1498
594	768
594	646
594	1353
594	401
594	642
594	946
594	594
594	831
594	1026
594	1029
594	224
959	959
959	482
779	1279
779	1033
779	1411
779	484
779	1104
779	779
779	1454
779	354
779	315
779	1397
779	601
779	1164
779	590
779	903
779	843
779	1243
779	910
779	581
779	1451
779	96
779	531
779	1182
779	521
779	433
779	736
779	419
779	462
779	1332
779	86
779	885
779	889
779	323
164	1514
164	759
164	1257
164	164
164	275
164	162
164	148
164	1066
164	461
164	1278
164	1
1402	1402
590	1279
590	1033
590	1411
590	484
590	1104
590	779
590	1454
590	354
590	315
590	1397
590	601
590	1164
590	590
590	903
590	843
590	1243
590	910
590	581
590	1451
590	96
590	531
590	1182
590	521
590	433
590	736
590	419
590	908
590	462
590	1332
590	86
590	885
590	889
590	323
590	614
590	586
360	1200
360	862
360	893
360	1292
360	368
360	909
360	286
360	193
360	1473
360	973
360	1378
360	157
360	1138
360	978
360	561
360	738
360	410
360	309
360	1396
360	627
360	1011
360	708
360	51
360	855
360	1236
360	547
360	273
360	859
360	1472
360	421
360	812
360	147
360	914
360	420
360	1306
360	663
360	613
360	567
360	684
360	930
360	1060
360	1430
360	117
360	541
360	237
360	1326
360	970
360	1095
360	894
360	360
360	1445
360	438
360	1356
360	256
360	125
360	1446
360	1050
360	1283
360	1114
360	9
482	959
482	482
1432	1432
1411	1279
1411	1033
1411	1411
1411	484
1411	1104
1411	779
1411	1454
1411	354
1411	315
1411	1397
1411	1164
1411	590
1411	903
1411	843
1411	1243
1411	346
1411	96
1411	531
1411	1182
1411	1416
