remap_userid	remap_locationid	rate	latitude	longtitude
0	211	117	39.891077	-105.068532
0	571	1	39.758974	-105.010853
0	323	1	39.75434	-104.99427299999999
0	1269	1	39.838051	-104.709423
0	1272	3	39.929957	-105.13088300000001
0	1473	1	40.016488	-105.28199
0	608	7	39.712495000000004	-104.99902800000001
0	885	7	39.75371	-104.995135
0	759	126	39.739154	-104.984703
0	325	5	39.734968	-105.15838400000001
0	1046	3	39.719415999999995	-104.956124
0	1484	4	39.886782000000004	-105.074592
0	713	1	39.833273	-104.728409
0	701	4	37.579361	-122.346108
0	1193	1	37.783743	-122.40212700000001
0	880	5	37.579938	-122.34626999999999
0	1382	2	37.577199	-122.349073
0	293	7	39.748948999999996	-105.007393
0	975	6	39.640264	-106.374195
0	1047	1	39.550538	-107.324776
0	623	1	39.574431	-106.09751999999999
0	1228	8	30.26495	-97.738952
0	1088	1	30.261989	-97.739457
0	1166	2	37.578202000000005	-122.34764399999999
0	821	5	39.847192	-104.675223
0	1294	2	39.979607	-105.20385800000001
0	1451	2	39.753326	-104.997946
0	957	213	39.762146	-104.98248000000001
0	1531	1	39.74015	-104.948647
0	378	1	37.562992	-122.325525
0	620	1	39.766098	-105.077206
0	339	2	39.756038000000004	-105.009394
0	585	14	39.861667	-104.673056
0	162	8	39.7435	-104.980177
0	1273	2	39.855371999999996	-104.68510400000001
0	594	1	39.75557	-104.98901000000001
0	959	5	39.785198	-104.891902
0	779	4	39.75083	-105.00009299999999
0	164	5	39.740031	-104.98018
0	1402	12	37.618889	-122.375
0	590	3	39.750518	-104.99913500000001
0	360	11	40.017351	-105.277349
0	482	1	39.785236	-104.891552
0	1432	1	39.76	-98.5
0	1411	1	39.748288	-105.000394
0	1387	4	47.448889	-122.309444
0	1447	4	39.703291	-104.932505
0	1413	4	37.600747	-122.38237600000001
0	496	2	37.578715	-122.34643100000001
0	505	3	37.615223	-122.389979
0	964	7	39.878664	-104.682105
0	1397	3	39.747863	-104.999696
0	458	3	29.986862	-95.350611
0	709	2	39.877328000000006	-75.240086
0	1235	5	39.848233	-104.675031
0	1337	20	39.665315	-105.20672900000001
0	320	1	39.758015	-105.011242
0	903	3	39.750502000000004	-104.99911399999999
0	881	3	39.762352	-104.98236599999998
0	736	2	39.748543	-104.99659299999999
0	835	1	39.739995	-104.96364399999999
0	569	3	39.708335	-105.076574
0	1257	2	39.736823	-104.984326
0	521	2	39.754264	-104.997359
0	165	2	39.743639	-104.99035400000001
0	645	11	33.944066	-118.408294
0	5	1	39.746295	-104.979879
0	673	8	39.713571	-104.98795700000001
0	1104	2	39.75015	-105.00028
0	788	2	39.714804	-104.946141
0	433	1	39.752531	-104.996751
0	1467	1	37.774929	-122.41941499999999
1	880	4	37.579938	-122.34626999999999
1	265	9	37.558546	-122.271079
1	1382	1	37.577199	-122.349073
1	701	1	37.579361	-122.346108
1	440	2	37.668821	-122.08079599999999
1	1255	297	37.63049	-122.411084
